LAT,LON,YEAR,MO,DY,T2M
-21.34449,55.47301,2000,4,30,   24.39
-21.34449,55.47301,2000,5,1,   24.19
-21.34449,55.47301,2000,5,2,   23.61
-21.34449,55.47301,2000,5,3,   24.06
-21.34449,55.47301,2000,5,4,   24.59
-21.34449,55.47301,2000,5,5,   24.46
-21.34449,55.47301,2000,5,6,   24.63
-21.34449,55.47301,2000,5,7,   24.69
-21.34449,55.47301,2000,5,8,   24.58
-21.34449,55.47301,2000,5,9,   24.45
-21.34449,55.47301,2000,5,10,   25.13
-21.34449,55.47301,2000,5,11,   25.12
-21.34449,55.47301,2000,5,12,   24.82
-21.34449,55.47301,2000,5,13,   24.90
-21.34449,55.47301,2000,5,14,   24.92
-21.34449,55.47301,2000,5,15,   25.07
-21.34449,55.47301,2000,5,16,   24.92
-21.34449,55.47301,2000,5,17,   23.95
-21.34449,55.47301,2000,5,18,   23.92
-21.34449,55.47301,2000,5,19,   24.01
-21.34449,55.47301,2000,5,20,   24.18
-21.34449,55.47301,2000,5,21,   23.91
-21.34449,55.47301,2000,5,22,   23.67
-21.34449,55.47301,2000,5,23,   23.95
-21.34449,55.47301,2000,5,24,   24.18
-21.34449,55.47301,2000,5,25,   24.20
-21.34449,55.47301,2000,5,26,   24.03
-21.34449,55.47301,2000,5,27,   24.07
-21.34449,55.47301,2000,5,28,   24.19
-21.34449,55.47301,2000,5,29,   24.15
-21.34449,55.47301,2000,5,30,   23.88
-21.34449,55.47301,2000,5,31,   24.17
-21.34449,55.47301,2000,6,1,   24.06
-21.34449,55.47301,2000,6,2,   23.55
-21.34449,55.47301,2000,6,3,   23.28
-21.34449,55.47301,2000,6,4,   23.24
-21.34449,55.47301,2000,6,5,   22.78
-21.34449,55.47301,2000,6,6,   22.84
-21.34449,55.47301,2000,6,7,   22.55
-21.34449,55.47301,2000,6,8,   22.43
-21.34449,55.47301,2000,6,9,   22.84
-21.34449,55.47301,2000,6,10,   22.49
-21.34449,55.47301,2000,6,11,   22.50
-21.34449,55.47301,2000,6,12,   22.82
-21.34449,55.47301,2000,6,13,   22.73
-21.34449,55.47301,2000,6,14,   22.78
-21.34449,55.47301,2000,6,15,   23.03
-21.34449,55.47301,2000,6,16,   22.98
-21.34449,55.47301,2000,6,17,   22.51
-21.34449,55.47301,2000,6,18,   22.76
-21.34449,55.47301,2000,6,19,   22.77
-21.34449,55.47301,2000,6,20,   22.61
-21.34449,55.47301,2000,6,21,   23.11
-21.34449,55.47301,2000,6,22,   22.79
-21.34449,55.47301,2000,6,23,   22.99
-21.34449,55.47301,2000,6,24,   22.92
-21.34449,55.47301,2000,6,25,   22.62
-21.34449,55.47301,2000,6,26,   22.55
-21.34449,55.47301,2000,6,27,   22.13
-21.34449,55.47301,2000,6,28,   20.96
-21.34449,55.47301,2000,6,29,   20.19
-21.34449,55.47301,2000,6,30,   20.30
-21.34449,55.47301,2000,7,1,   20.38
-21.34449,55.47301,2000,7,2,   20.74
-21.34449,55.47301,2000,7,3,   21.31
-21.34449,55.47301,2000,7,4,   21.90
-21.34449,55.47301,2000,7,5,   22.17
-21.34449,55.47301,2000,7,6,   22.38
-21.34449,55.47301,2000,7,7,   22.34
-21.34449,55.47301,2000,7,8,   22.37
-21.34449,55.47301,2000,7,9,   21.66
-21.34449,55.47301,2000,7,10,   21.13
-21.34449,55.47301,2000,7,11,   21.04
-21.34449,55.47301,2000,7,12,   21.16
-21.34449,55.47301,2000,7,13,   21.61
-21.34449,55.47301,2000,7,14,   21.72
-21.34449,55.47301,2000,7,15,   21.96
-21.34449,55.47301,2000,7,16,   21.70
-21.34449,55.47301,2000,7,17,   21.53
-21.34449,55.47301,2000,7,18,   21.18
-21.34449,55.47301,2000,7,19,   20.74
-21.34449,55.47301,2000,7,20,   21.56
-21.34449,55.47301,2000,7,21,   21.98
-21.34449,55.47301,2000,7,22,   21.37
-21.34449,55.47301,2000,7,23,   20.67
-21.34449,55.47301,2000,7,24,   20.33
-21.34449,55.47301,2000,7,25,   20.15
-21.34449,55.47301,2000,7,26,   21.04
-21.34449,55.47301,2000,7,27,   21.54
-21.34449,55.47301,2000,7,28,   21.26
-21.34449,55.47301,2000,7,29,   21.38
-21.34449,55.47301,2000,7,30,   21.48
-21.34449,55.47301,2000,7,31,   21.41
-21.34449,55.47301,2000,8,1,   21.50
-21.34449,55.47301,2000,8,2,   21.32
-21.34449,55.47301,2000,8,3,   21.60
